,address,apartment_size,begin_date,category,created_at,district1,id,latitude,longitude,name,normalized_price,number_of_bedrooms,occupied_dates,provider_code,city_code
0,Willem de Zwijgerlaan,50.0,2018-02-16,apartment,2018-02-15T07:14:46,amsterdam-west,1037654,52.3742347,4.86356147,2 rooms apartment in Willem de Zwijgerlaan,1450.0,2,[],pararius,amsterdam
9,Anton Constandsestraat,93.0,2018-02-16,apartment,2018-02-14T07:15:58,amsterdam-oost,1035398,52.34695897,4.92216139,4 rooms apartment in Anton Constandsestraat,1334.0,4,[],pararius,amsterdam
11,Leusdenhof,92.0,2018-02-16,apartment,2018-01-17T07:02:16,amsterdam-zuidoost,922046,52.30879804,4.97844249,4 rooms apartment in Leusdenhof,1550.0,4,[],pararius,amsterdam
17,Pieter Postpad,103.0,2018-02-16,apartment,2018-01-07T22:54:22,amsterdam-nieuw-west,890896,52.38187427,4.79489507,3 rooms apartment in Pieter Postpad,870.0,3,[],pararius,amsterdam
20,Oudezijds Achterburgwal,55.0,2018-02-16,apartment,2018-02-04T06:44:58,amsterdam-centrum,1000917,52.37206198,4.89771332,3 rooms apartment in Oudezijds Achterburgwal,1500.0,3,[],pararius,amsterdam
26,Van Speijkstraat,60.0,2018-02-16,apartment,2017-11-22T03:08:58,amsterdam-west,692713,52.367498100000006,4.86045483,3 rooms apartment in Van Speijkstraat,1375.0,3,[],pararius,amsterdam
27,Henri Dunantstraat,93.0,2018-02-16,apartment,2017-10-21T07:50:07,amsterdam-nieuw-west,615559,52.34809844,4.82935429,3 rooms apartment in Henri Dunantstraat,1257.0,3,[],pararius,amsterdam
28,Avercampstraat,95.0,2018-02-16,apartment,2017-12-07T09:01:20,amsterdam-zuid,791147,52.34997787,4.89308414,5 rooms apartment in Avercampstraat,2000.0,5,[],pararius,amsterdam
29,Spuistraat,40.0,2018-02-16,apartment,2017-10-21T08:18:53,amsterdam-centrum,617301,52.3752699,4.89106953,2 rooms apartment in Spuistraat,1375.0,2,[],pararius,amsterdam
30,Dapperstraat,50.0,2018-02-16,apartment,2017-12-23T01:42:01,amsterdam-oost,837587,52.36509269,4.92586203,2 rooms apartment in Dapperstraat,1500.0,2,[],pararius,amsterdam
32,Passeerdersstraat 1,35.0,2018-02-16,apartment,2017-12-09T08:03:00,amsterdam-centrum,799352,52.36791563,4.88201904,2 rooms apartment in Passeerdersstraat 1,1400.0,2,[],pararius,amsterdam
33,Maliebaan,83.0,2018-02-16,apartment,2018-01-17T07:04:47,amsterdam-oost,922103,52.3474705,4.92196524,3 rooms apartment in Maliebaan,1226.0,3,[],pararius,amsterdam
35,Nieuwezijds Voorburgwal,35.0,2018-02-16,apartment,2018-02-03T06:27:53,amsterdam-centrum,994350,52.37150928,4.89017182,2 rooms apartment in Nieuwezijds Voorburgwal,1250.0,2,[],pararius,amsterdam
36,Keizersgracht,40.0,2018-02-16,apartment,2018-01-30T06:03:35,amsterdam-centrum,979324,52.36371142,4.8953096,2 rooms apartment in Keizersgracht,1500.0,2,[],pararius,amsterdam
37,Nieuwezijds Armsteeg,70.0,2018-02-16,apartment,2017-11-30T09:02:05,amsterdam-centrum,708520,52.37712473,4.89618885,2 rooms apartment in Nieuwezijds Armsteeg,1500.0,2,[],pararius,amsterdam
38,Kaasjeskruidstraat,65.0,2018-02-16,apartment,2017-10-21T07:30:30,amsterdam-noord,614424,52.39877477,4.90557968,3 rooms apartment in Kaasjeskruidstraat,1450.0,3,[],pararius,amsterdam
42,Bennebroekstraat 32,90.0,2018-02-16,apartment,2018-01-01T06:15:53,amsterdam-zuid,858970,52.35295037,4.84725589,4 rooms apartment in Bennebroekstraat 32,1695.0,4,[],pararius,amsterdam
43,Oudezijds Achterburgwal 35,55.0,2018-02-16,apartment,2018-01-17T07:00:25,amsterdam-centrum,922004,52.37384072,4.89969083,2 rooms apartment in Oudezijds Achterburgwal 35,1500.0,2,[],pararius,amsterdam
44,Korte Leidsedwarsstraat 74,40.0,2018-02-16,apartment,2018-01-06T09:58:29,amsterdam-centrum,875734,52.36291346,4.88507096,2 rooms apartment in Korte Leidsedwarsstraat 74,1350.0,2,[],pararius,amsterdam
46,Govert Flinckstraat 52,50.0,2018-02-16,apartment,2017-10-21T07:32:36,amsterdam-zuid,614552,52.35401704,4.88753482,2 rooms apartment in Govert Flinckstraat 52,1395.0,2,[],pararius,amsterdam
47,Prinsengracht,55.0,2018-02-16,apartment,2017-11-07T10:46:21,amsterdam-centrum,671129,52.37201615,4.88251565,2 rooms apartment in Prinsengracht,1650.0,2,[],pararius,amsterdam
48,Elisabeth Boddaertstraat,115.0,2018-02-16,apartment,2017-10-21T07:50:08,amsterdam-nieuw-west,615560,52.34782156,4.83015591,4 rooms apartment in Elisabeth Boddaertstraat,1406.0,4,[],pararius,amsterdam
49,Tussen Meer,98.0,2018-02-16,apartment,2017-10-21T08:07:06,amsterdam-nieuw-west,616573,52.35627165,4.79202212,4 rooms apartment in Tussen Meer,1650.0,4,[],pararius,amsterdam
50,Borgerstraat,46.0,2018-02-16,apartment,2017-12-09T07:56:08,amsterdam-west,799302,52.36412528,4.86193368,2 rooms apartment in Borgerstraat,1450.0,2,[],pararius,amsterdam
51,Wittenburgergracht,55.0,2018-02-16,apartment,2018-02-15T07:14:07,amsterdam-centrum,1037621,52.36986035,4.91789281,2 rooms apartment in Wittenburgergracht,1500.0,2,[],pararius,amsterdam
52,Ceramiquelaan,99.0,2018-02-16,apartment,2018-01-18T06:44:53,amsterdam-noord,927059,52.38561068,4.90129989,3 rooms apartment in Ceramiquelaan,1590.0,3,[],pararius,amsterdam
53,Lauriergracht,50.0,2018-02-16,apartment,2018-01-10T14:47:07,amsterdam-centrum,899677,52.3704044,4.87762963,2 rooms apartment in Lauriergracht,1500.0,2,[],pararius,amsterdam
55,Funenpark,104.0,2018-02-16,apartment,2018-02-05T06:06:04,amsterdam-centrum,1002169,52.36909987,4.93248654,4 rooms apartment in Funenpark,1400.0,4,[],pararius,amsterdam
